"Full_Name";"Locality_Siege";"CountryCode";"Continent";"Region";"Y";"X";"Pop_collect";"Statut";"Entity";"Year_of_Joining";"Note";"Network_Name";"Code_Network";"EntitySimplified";"CountryName";"MembershipCode";"Adress";"lon";"lat"
"Atzeneta d'Albaida ";"Atzeneta d'Albaida ";"ES";"Europe";"Southern Europe";"38.8312511";"-0.4986165999999912";NA;"Effective Member";"Municipality";NA;NA;"ACTE";"01903";"Municipality";"Spain";"A64";"Atzeneta d'Albaida , Spain";-0,4986166;38,8312511
"Badalona";"Badalona";"ES";"Europe";"Southern Europe";"41.4469883";"2.2450324999999793";NA;"Effective Member";"Municipality";NA;NA;"ACTE";"01903";"Municipality";"Spain";"A65";"Badalona, Spain";2,2450325;41,4469883
"Igualada";"Igualada";"ES";"Europe";"Southern Europe";"41.5847817";"1.6226537999999664";NA;"Effective Member";"Municipality";NA;NA;"ACTE";"01903";"Municipality";"Spain";"A66";"Igualada, Spain";1,612949;41,5849177
"Manresa  ";"Manresa  ";"ES";"Europe";"Southern Europe";"41.7292826";"1.8225153999999293";NA;"Effective Member";"Municipality";NA;NA;"ACTE";"01903";"Municipality";"Spain";"A67";"Manresa  , Spain";1,8220818;41,7163888
"Mataró";"Mataró";"ES";"Europe";"Southern Europe";"41.5381124";"2.444740599999932";NA;"Effective Member";"Municipality";NA;NA;"ACTE";"01903";"Municipality";"Spain";"A68";"Mataró, Spain";2,4447406;41,5381124
"Sabadell";"Sabadell";"ES";"Europe";"Southern Europe";"41.5462745";"2.108613099999957";NA;"Effective Member";"Municipality";NA;NA;"ACTE";"01903";"Municipality";"Spain";"A69";"Sabadell, Spain";2,1086131;41,5462745
"Santa Margarida de Montbui";"Santa Margarida de Montbui";"ES";"Europe";"Southern Europe";"41.55686900000001";"1.6030347999999321";NA;"Effective Member";"Municipality";NA;NA;"ACTE";"01903";"Municipality";"Spain";"A70";"Santa Margarida de Montbui, Spain";1,6030348;41,556869
"Terrassa";"Terrassa";"ES";"Europe";"Southern Europe";"41.563211";"2.0088746999999785";NA;"Effective Member";"Municipality";NA;NA;"ACTE";"01903";"Municipality";"Spain";"A71";"Terrassa, Spain";2,0088747;41,563211
"Ourense ";"Ourense ";"ES";"Europe";"Southern Europe";"42.33578929999999";"-7.863880999999992";NA;"Effective Member";"Municipality";NA;NA;"ACTE";"01903";"Municipality";"Spain";"A72";"Ourense , Spain";-7,863881;42,3357893
"Consell Comarcal del Vallès Occidental";"Terrassa";"ES";"Europe";"Southern Europe";"41.563211";"2.0088746999999785";NA;"Effective Member";"Intermunicipality";NA;NA;"ACTE";"01903";"Intermunicipality";"Spain";"A73";"Terrassa, Spain";2,0088747;41,563211
"Consorci per l'Ocupació i Promoció Econòmica Vallès Occidental - COPEVO";"Terrassa";"ES";"Europe";"Southern Europe";"41.563211";"2.0088746999999785";NA;"Effective Member";"Other";NA;NA;"ACTE";"01903";"Other";"Spain";"A74";"Terrassa, Spain";2,0088747;41,563211
"Diputació de Barcelona";"Barcelona";"ES";"Europe";"Southern Europe";"41.3850639";"2.1734034999999494";NA;"Effective Member";"Intermunicipality";NA;NA;"ACTE";"01903";"Intermunicipality";"Spain";"A75";"Barcelona, Spain";2,1734035;41,3850639
"Generalitat de Catalunya ";"Barcelona";"ES";"Europe";"Southern Europe";"41.3850639";"2.1734034999999494";NA;"Effective Member";"Regional Authorities";NA;NA;"ACTE";"01903";"Region";"Spain";"A76";"Barcelona, Spain";2,1734035;41,3850639
"Borås";"Borås";"SE";"Europe";"Northern Europe";"57.716667";"12.933333";NA;"Effective Member";"Municipality";NA;NA;"ACTE";"01903";"Municipality";"Sweden";"A77";"Borås, Sweden";12,939819;57,721035
"Abeche";"Abeche";"TD";"Africa";"Middle Africa";"13.8359124";"20.8433709";NA;"Member";"Municipal Authority";NA;NA;"AIMF";"02164";"Municipality";"Chad";"A78";"Abeche, Chad";20,8433709;13,8359124
"Abengourou";"Abengourou";"CI";"Africa";"Western Africa";"6.7156982";"-3.4801349";NA;"Member";"Municipal Authority";NA;NA;"AIMF";"02164";"Municipality";"Côte d’Ivoire";"A79";"Abengourou, Côte d’Ivoire";-3,4801349;6,7156982
"Abidjan";"Abidjan";"CI";"Africa";"Western Africa";"5.3599517";"-4.0082563";NA;"Member";"Municipal Authority";NA;NA;"AIMF";"02164";"Municipality";"Côte d’Ivoire";"A80";"Abidjan, Côte d’Ivoire";-4,0082563;5,3599517
"Aboisso";"Aboisso";"CI";"Africa";"Western Africa";"5.4745106";"-3.2030756";NA;"Member";"Municipal Authority";NA;NA;"AIMF";"02164";"Municipality";"Côte d’Ivoire";"A81";"Aboisso, Côte d’Ivoire";-3,2030756;5,4745106
"Abomey";"Abomey";"BJ";"Africa";"Western Africa";"7.1854773";"1.9979411";NA;"Member";"Municipal Authority";NA;NA;"AIMF";"02164";"Municipality";"Benin";"A82";"Abomey, Benin";1,9979411;7,1854773
"Agadez";"Agadez";"NE";"Africa";"Western Africa";"5.4745106";"-3.2030756";NA;"Member";"Municipal Authority";NA;NA;"AIMF";"02164";"Municipality";"Niger";"A83";"Agadez, Niger";7,986535;16,9741689
"Agadir";"Agadir";"MA";"Africa";"Northern Africa";"30.4277547";"-9.5981072";NA;"Member";"Municipal Authority";NA;NA;"AIMF";"02164";"Municipality";"Morocco";"A84";"Agadir, Morocco";-9,5981072;30,4277547
"Akjoujt";"Akjoujt";"MR";"Africa";"Western Africa";"19.7461122";"-14.3879205";NA;"Member";"Municipal Authority";NA;NA;"AIMF";"02164";"Municipality";"Mauritania";"A85";"Akjoujt, Mauritania";-14,3879205;19,7461122
"Alexandrie";"Alexandrie";"EG";"Africa";"Northern Africa";"31.2000924";"29.9187387";NA;"Member";"Municipal Authority";NA;NA;"AIMF";"02164";"Municipality";"Egypt";"A86";"Alexandrie, Egypt";29,9187387;31,2000924
"Ali-Sabieh";"Ali-Sabieh";"DJ";"Africa";"Eastern Africa";"11.1491947";"42.7124984";NA;"Member";"Municipal Authority";NA;NA;"AIMF";"02164";"Municipality";"Djibouti";"A87";"Ali-Sabieh, Djibouti";42,7124984;11,1491947
"Aneho";"Aneho";"TG";"Africa";"Western Africa";"6.2272766";"1.5814235";NA;"Member";"Municipal Authority";NA;NA;"AIMF";"02164";"Municipality";"Togo";"A88";"Aneho, Togo";1,5814235;6,2272766
"Antananarivo";"Antananarivo";"MG";"Africa";"Eastern Africa";"-18.8791902";"47.5079055";NA;"Member";"Municipal Authority";NA;NA;"AIMF";"02164";"Municipality";"Madagascar";"A89";"Antananarivo, Madagascar";47,5079055;-18,8791902
"Antsirabe";"Antsirabe";"MG";"Africa";"Eastern Africa";"-19.8730077";"47.0291162";NA;"Member";"Municipal Authority";NA;NA;"AIMF";"02164";"Municipality";"Madagascar";"A90";"Antsirabe, Madagascar";47,0291162;-19,8730077
"Aoste";"Aoste";"IT";"Europe";"Southern Europe";"45.7349551";"7.3130762";NA;"Member";"Municipal Authority";NA;NA;"AIMF";"02164";"Municipality";"Italy";"A91";"Aoste, Italy";7,3130762;45,7349551
"Atakpame";"Atakpame";"TG";"Africa";"Western Africa";"7.5286908";"1.1305049";NA;"Member";"Municipal Authority";NA;NA;"AIMF";"02164";"Municipality";"Togo";"A92";"Atakpame, Togo";1,1305049;7,5286908
"Atar";"Atar";"MR";"Africa";"Western Africa";"20.5072923";"-13.0529780";NA;"Member";"Municipal Authority";NA;NA;"AIMF";"02164";"Municipality";"Mauritania";"A93";"Atar, Mauritania";-13,052978;20,5072923
"Bamako";"Bamako";"ML";"Africa";"Western Africa";"12.6392316";"-8.0028892";NA;"Member";"Municipal Authority";NA;NA;"AIMF";"02164";"Municipality";"Mali";"A94";"Bamako, Mali";-8,0028892;12,6392316
"Bambey";"Bambey";"SN";"Africa";"Western Africa";"14.6965115";"-16.4582560";NA;"Member";"Municipal Authority";NA;NA;"AIMF";"02164";"Municipality";"Senegal";"A95";"Bambey, Senegal";-16,458256;14,6965115
"Bandiagara";"Bandiagara";"ML";"Africa";"Western Africa";"14.3489479";"-3.6091170";NA;"Member";"Municipal Authority";NA;NA;"AIMF";"02164";"Municipality";"Mali";"A96";"Bandiagara, Mali";-3,609117;14,3489479
