Programme;Acronym;Project Partner;Lead Partner;Street;Postal code;Town;Country;Website;Department;Legal Status;Country code;NUTS1 (or equivalent);NUTS2 (or equivalent);NUTS3 (or equivalent)
2014 - 2020 INTERREG V-A Spain - France - Andorra (POCTEFA);PIREPRED;Fundación Instituto de Investigación Sanitaria Aragón;No;Avda. San Juan Bosco, 13;50009;Zaragoza;Spain;http://pirepred.com/;;Private;ES Spain / ESPAÑA;ES2  / NORESTE;ES24  / Aragón;ES243  / Zaragoza
2014 - 2020 INTERREG V-A Spain - France - Andorra (POCTEFA);PIREPRED;Centre Hospitalier Universitaire de Toulouse;No;2 rue Viguerie-TSA 80035;31059;Toulouse;France;http://pirepred.com/;;Private;FR France / FRANCE;FR6  / SUD-OUEST;FR62  / Midi-Pyrénées;FR623  / Haute-Garonne
2014 - 2020 INTERREG V-A Spain - France - Andorra (POCTEFA);PIREPRED;Centre National de la Recherche Scientifique Delegation Midi-Pyrenees;No;16 AVENUE EDOUARD BELIN;31055;Toulouse;France;http://pirepred.com/;;Public;FR France / FRANCE;FR6  / SUD-OUEST;FR62  / Midi-Pyrénées;FR623  / Haute-Garonne
2014 - 2020 INTERREG V-A Spain - France - Andorra (POCTEFA);PATRIMC@T;Ayuntamiento Sant Pau de Segúries;No;C/Guàrdia 11;17864;SANT PAU DE SEGURIES;Spain;https://www.poctefa.eu/;;Private;ES Spain / ESPAÑA;ES5  / ESTE;ES51  / Cataluña;ES512  / Girona
2014 - 2020 INTERREG V-A Spain - France - Andorra (POCTEFA);PATRIMC@T;Commune Saint-Laurent-de-Cerdans;No;Rue de l'église;66260;SAINT-LAURENT-DE-CERDANS;France;https://www.poctefa.eu/;;Public;FR France / FRANCE;FR8  / MÉDITERRANÉE;FR81  / Languedoc-Roussillon;FR815  / Pyrénées-Orientales
2014 - 2020 INTERREG V-A Spain - France - Andorra (POCTEFA);PATRIMC@T;Commune Reynés;No;Le Village;66400;REYNES;France;https://www.poctefa.eu/;;Public;FR France / FRANCE;FR8  / MÉDITERRANÉE;FR81  / Languedoc-Roussillon;FR815  / Pyrénées-Orientales
2014 - 2020 INTERREG V-A Spain - France - Andorra (POCTEFA);PATRIMC@T;Commune Prats-de-Mollo-La-Preste;No;6 rue Porte de France;66230;PRATS-DE-MOLLO-LA-PRESTE;France;https://www.poctefa.eu/;;Public;FR France / FRANCE;FR8  / MÉDITERRANÉE;FR81  / Languedoc-Roussillon;FR815  / Pyrénées-Orientales
2014 - 2020 INTERREG V-A Spain - France - Andorra (POCTEFA);PATRIMC@T;Ayuntamiento Molló;No;C/Sant Sebastià 2;17868;MOLLO;Spain;https://www.poctefa.eu/;;Public;ES Spain / ESPAÑA;ES5  / ESTE;ES51  / Cataluña;ES512  / Girona
2014 - 2020 INTERREG V-A Spain - France - Andorra (POCTEFA);PATRIMC@T;Commune Maureillas-Las-Illas;No;14 avenue du Vallespir;66480;MAUREILLAS-LAS-ILLAS;France;https://www.poctefa.eu/;;Public;FR France / FRANCE;FR8  / MÉDITERRANÉE;FR81  / Languedoc-Roussillon;FR815  / Pyrénées-Orientales
2014 - 2020 INTERREG V-A Spain - France - Andorra (POCTEFA);PATRIMC@T;Commune Le Boulou;No;Avenue Léon Jean Grégory;66160;LE BOULOU;France;https://www.poctefa.eu/;;Public;FR France / FRANCE;FR8  / MÉDITERRANÉE;FR81  / Languedoc-Roussillon;FR815  / Pyrénées-Orientales
2014 - 2020 INTERREG V-A Spain - France - Andorra (POCTEFA);PATRIMC@T;Ayuntamiento Camprodon;No;Pl. de la Vila;17867;CAMPRODON;Spain;https://www.poctefa.eu/;;Public;ES Spain / ESPAÑA;ES5  / ESTE;ES51  / Cataluña;ES512  / Girona
2014 - 2020 INTERREG V-A Spain - France - Andorra (POCTEFA);PATRIMC@T;Ayuntamiento Sant Joan de les Abadesses;No;Plaza Mayor 3;17860;SANT JOAN DE LES ABADESSES;Spain;https://www.poctefa.eu/;;Public;ES Spain / ESPAÑA;ES5  / ESTE;ES51  / Cataluña;ES512  / Girona
2014 - 2020 INTERREG V-A Spain - France - Andorra (POCTEFA);PATRIMC@T;Commune Serralongue;No;2 rue Pierre Talrich;66230;SERRALONGUE;France;https://www.poctefa.eu/;;Public;FR France / FRANCE;FR8  / MÉDITERRANÉE;FR81  / Languedoc-Roussillon;FR815  / Pyrénées-Orientales
2014 - 2020 INTERREG V-A Spain - France - Andorra (POCTEFA);PATRIMC@T;Mancomunitat Intermunicipal de la Vall de Camprodon;No;Carretera C38, km 9,6;17867;CAMPRODON;Spain;https://www.poctefa.eu/;;Private;ES Spain / ESPAÑA;ES5  / ESTE;ES51  / Cataluña;ES512  / Girona
2014 - 2020 INTERREG V-A Spain - France - Andorra (POCTEFA);PATRIMC@T;Ayuntamiento Vilallonga de Ter;No;Pl. de les Escoles n°1;17869;VILALLONGA DE TER;Spain;https://www.poctefa.eu/;;Private;ES Spain / ESPAÑA;ES5  / ESTE;ES51  / Cataluña;ES512  / Girona
2014 - 2020 INTERREG V-A Spain - France - Andorra (POCTEFA);PATRIMC@T;Ayuntamiento de Setcases;No;Plaça Major, n°1;17869;SETCASES;Spain;https://www.poctefa.eu/;;Public;ES Spain / ESPAÑA;ES5  / ESTE;ES51  / Cataluña;ES512  / Girona
2014 - 2020 INTERREG V-A Spain - France - Andorra (POCTEFA);PATRIMC@T;Commune Arles-sur-Tech;No;Baills de la Mairie;66150;ARLES-SUR-TECH;France;https://www.poctefa.eu/;;Public;FR France / FRANCE;FR8  / MÉDITERRANÉE;FR81  / Languedoc-Roussillon;FR815  / Pyrénées-Orientales
2014 - 2020 INTERREG V-A Spain - France - Andorra (POCTEFA);OPCC-2;Instituto Pirenaico de Ecología - Agencia Estatal Consejo Superior de Investigaciones Científicas (IPE-CSIC);No;C/Serrano 117, 28006 Madrid, España - Edificio IPE - Avenida Nuestra Señora de la Victoria, 8, 22700 Jaca (Huesca) España;22700;Jaca;Spain;https://opcc-ctp.org/es;;Public;ES Spain / ESPAÑA;ES2  / NORESTE;ES24  / Aragón;ES241  / Huesca
2014 - 2020 INTERREG V-A Spain - France - Andorra (POCTEFA);OPCC-2;Syndicat mixte Conservatoire botanique pyrénéen agréé Conservatoire botanique national des Pyrénées et de Midi-Pyrénées (CBNPMP);No;Vallon de Salut, 65203 Bagnères-de-Bigorre Cedex-France;65203;Bagnères-de-Bigorre;France;https://opcc-ctp.org/es;;Public;FR France / FRANCE;FR6  / SUD-OUEST;FR62  / Midi-Pyrénées;FR626  / Hautes-Pyrénées
2014 - 2020 INTERREG V-A Spain - France - Andorra (POCTEFA);OPCC-2;FORESPIR;No;64 rue Raymond IV, 31000 Toulouse-France;31000;TOULOUSE;France;https://opcc-ctp.org/es;;Public;FR France / FRANCE;FR6  / SUD-OUEST;FR62  / Midi-Pyrénées;FR623  / Haute-Garonne
2014 - 2020 INTERREG V-A Spain - France - Andorra (POCTEFA);OPCC-2;Bureau de Recherches Géologiques et Minières (BRGM);No;"3 avenue Claude Guillemin, BP 36009, 45060 Orléans Cedex 2, France; ou 3 rue Marie Curie, 31520 Ramonville St Agne, France";45060;Orléans;France;https://opcc-ctp.org/es;;Public;FR France / FRANCE;FR2  / BASSIN PARISIEN;FR24  / Centre;FR246  / Loiret
2014 - 2020 INTERREG V-A Spain - France - Andorra (POCTEFA);OPCC-2;Estación Experimental de Aula Dei - Agencia Estatal Consejo Superior de Investigaciones Científicas (EEAD-CSIC);No;C/Serrano 117, 28006 Madrid, España. o Avda. Montañana 1005, 50059 Zaragoza, Spain;50059;ZARAGOZA;Spain;https://opcc-ctp.org/es;;Public;ES Spain / ESPAÑA;ES2  / NORESTE;ES24  / Aragón;ES243  / Zaragoza
2014 - 2020 INTERREG V-A Spain - France - Andorra (POCTEFA);OPCC-2;Universidad de Zaragoza (UNIZAR);No;Calle Pedro Cerbuna, 12;50009;ZARAGOZA;Spain;https://opcc-ctp.org/es;;Public;ES Spain / ESPAÑA;ES2  / NORESTE;ES24  / Aragón;ES243  / Zaragoza
2014 - 2020 INTERREG V-A Spain - France - Andorra (POCTEFA);NOVACONS;AYUNTAMIENTO DE TUDELA;No;PLAZA VIEJA Nº 1;31500;TUDELA;Spain;http://www.novacons.org/es;;Public;ES Spain / ESPAÑA;ES2  / NORESTE;ES22  / Comunidad Foral de Navarra;ES220  / Navarra
2014 - 2020 INTERREG V-A Spain - France - Andorra (POCTEFA);NOVACONS;BTP CFA AQUITAINE;No;4 avenue de Chavailles - bât. 8;33520;BRUGES ;France;http://www.novacons.org/es;;Private;FR France / FRANCE;FR6  / SUD-OUEST;FR61  / Aquitaine;FR612  / Gironde
2014 - 2020 INTERREG V-A Spain - France - Andorra (POCTEFA);MAREA;SUEZ EAU FRANCE - Rivages Pro Tech;No;Tour CB21 - 16, place de l'Iris;92040;PARIS LA DEFENSE;France;https://ec.europa.eu/regional_policy/en/atlas/programmes/2014-2020/spain/2014tc16rfcb006;;public;FR France / FRANCE;FR2  / BASSIN PARISIEN;FR10  / Île de France;FR105  / Hauts-de-Seine
2014 - 2020 INTERREG V-A Spain - France - Andorra (POCTEFA);MAREA;Université de Pau et des Pays de l'Adour;No;Avenue de l'Université - BP 576;64012;PAU;France;https://ec.europa.eu/regional_policy/en/atlas/programmes/2014-2020/spain/2014tc16rfcb006;;Public;FR France / FRANCE;FR6  / SUD-OUEST;FR61  / Aquitaine;FR615  / Pyrénées-Atlantiques
2014 - 2020 INTERREG V-A Spain - France - Andorra (POCTEFA);MAREA;Dirección de Atención de Emergencia y Meteorología, Departamento de Seguridad, EUSKO JAURLARITZA.;No;Edifício Torre, Portal de Foronda, 41 – Lakua;1010;Gasteiz;Spain;https://ec.europa.eu/regional_policy/en/atlas/programmes/2014-2020/spain/2014tc16rfcb006;;Private;ES Spain / ESPAÑA;ES2  / NORESTE;ES21  / País Vasco;ES211  / Araba/Álava
2014 - 2020 INTERREG V-A Spain - France - Andorra (POCTEFA);MAREA;Fundación AZTI – AZTI Fundazioa;No;TXATXARRAMENDI UGARTEA, Z/G;48395;SUKARRIETA, BIZKAIA;Spain;https://ec.europa.eu/regional_policy/en/atlas/programmes/2014-2020/spain/2014tc16rfcb006;;Public;ES Spain / ESPAÑA;ES2  / NORESTE;ES21  / País Vasco;ES213  / Bizkaia
2014 - 2020 INTERREG V-A Spain - France - Andorra (POCTEFA);LINDUS-2;Ligue pour la Protection des Oiseaux Association locale Aquitaine;No;Erdoia;64120;LUXE SUMBERRAUTE;France;https://lindus2.eu/fr/;;Public;FR France / FRANCE;FR6  / SUD-OUEST;FR61  / Aquitaine;FR615  / Pyrénées-Atlantiques
2014 - 2020 INTERREG V-A Spain - France - Andorra (POCTEFA);LINDUS-2;SOCIEDAD ESPAÑOLA DE ORNITOLOGÍA;No;calle Melquiades Biencinto, 34;28053;Madrid;Spain;https://lindus2.eu/fr/;;Public;ES Spain / ESPAÑA;ES3  / COMUNIDAD DE MADRID;ES30  / Comunidad de Madrid;ES300  / Madrid
2014 - 2020 INTERREG V-A Spain - France - Andorra (POCTEFA);LINDUS-2;Gestión Ambiental de Navarra, S.A.;No;C/ Padre Adoain, 219 bj;31015;Pamplona;Spain;https://lindus2.eu/fr/;;Public;ES Spain / ESPAÑA;ES2  / NORESTE;ES22  / Comunidad Foral de Navarra;ES220  / Navarra
2014 - 2020 INTERREG V-A Spain - France - Andorra (POCTEFA);Limitis Forum;Atherbea;No;10 RUE Louis Seguin;64100;Bayonne;France;https://www.poctefa.eu/;;Public;FR France / FRANCE;FR6  / SUD-OUEST;FR61  / Aquitaine;FR615  / Pyrénées-Atlantiques
2014 - 2020 INTERREG V-A Spain - France - Andorra (POCTEFA);Limitis Forum;Association Mugazte Elkartea;No;Harretxea Qua Labiry;64240;Hasparren;France;https://www.poctefa.eu/;;Public;FR France / FRANCE;FR6  / SUD-OUEST;FR61  / Aquitaine;FR615  / Pyrénées-Atlantiques
2014 - 2020 INTERREG V-A Spain - France - Andorra (POCTEFA);Limitis Forum;INSTITUTO DE REINTEGRACION SOCIAL DE ALAVA;No;C/Errekatxiki, 19-bajo;1003;Vitoria-Gasteiz;Spain;https://www.poctefa.eu/;;Public;ES Spain / ESPAÑA;ES2  / NORESTE;ES21  / País Vasco;ES211  / Araba/Álava
2014 - 2020 INTERREG V-A Spain - France - Andorra (POCTEFA);Limitis Forum;HeziZerb elkartea - Asociación HeziZerb (Educación y Servicios);No;Avenida Zubiaurre 30 bajo;20013;Donostia-San Sebastián;Spain;https://www.poctefa.eu/;;Public;ES Spain / ESPAÑA;ES2  / NORESTE;ES21  / País Vasco;ES212  / Gipuzkoa
2014 - 2020 INTERREG V-A Spain - France - Andorra (POCTEFA);Limitis Forum;Université de Pau et des Pays de l’Adour;No;Avenue de l'Université;64012;Pau;France;https://www.poctefa.eu/;;Public;FR France / FRANCE;FR6  / SUD-OUEST;FR61  / Aquitaine;FR615  / Pyrénées-Atlantiques
2014 - 2020 INTERREG V-A Spain - France - Andorra (POCTEFA);PyrenEOS;Centre d’étude et d’expertise sur les risques, l’environnement, la mobilité et l’aménagement;No;1 Avenue du Colonel Roche;314100;Toulouse;France;https://ec.europa.eu/regional_policy/en/atlas/programmes/2014-2020/spain/2014tc16rfcb006;;Private;FR France / FRANCE;FR6  / SUD-OUEST;FR62  / Midi-Pyrénées;FR623  / Haute-Garonne
2014 - 2020 INTERREG V-A Spain - France - Andorra (POCTEFA);PyrenEOS;FUNDACION HAZI FUNDAZIOA;No;Granja Modelo S/N;1192;Arkaute;Spain;https://ec.europa.eu/regional_policy/en/atlas/programmes/2014-2020/spain/2014tc16rfcb006;;Public;ES Spain / ESPAÑA;ES2  / NORESTE;ES21  / País Vasco;ES211  / Araba/Álava
2014 - 2020 INTERREG V-A Spain - France - Andorra (POCTEFA);PyrenEOS;Instituto Navarro de Tecnología e Infraestructura Agroalimentaria;No;Avda. Serapio Huici 22;31610;Villava;Spain;https://ec.europa.eu/regional_policy/en/atlas/programmes/2014-2020/spain/2014tc16rfcb006;;Public;ES Spain / ESPAÑA;ES2  / NORESTE;ES22  / Comunidad Foral de Navarra;ES220  / Navarra
2014 - 2020 INTERREG V-A Spain - France - Andorra (POCTEFA);PyrenEOS;UNIVERSIDAD PUBLICA DE NAVARRA;No;Campus de Arrosadia;31006;Pamplona;Spain;https://ec.europa.eu/regional_policy/en/atlas/programmes/2014-2020/spain/2014tc16rfcb006;;Public;ES Spain / ESPAÑA;ES2  / NORESTE;ES22  / Comunidad Foral de Navarra;ES220  / Navarra
2014 - 2020 INTERREG V-A Spain - France - Andorra (POCTEFA);PyrenEOS;Trabajos Catastrales S.A.U.;No;C/ Cabárceno 6;31621;Sarriguren;Spain;https://ec.europa.eu/regional_policy/en/atlas/programmes/2014-2020/spain/2014tc16rfcb006;;Public;ES Spain / ESPAÑA;ES2  / NORESTE;ES22  / Comunidad Foral de Navarra;ES220  / Navarra
2014 - 2020 INTERREG V-A Spain - France - Andorra (POCTEFA);PyrenEOS;Telespazio France;No;26 Avenue François Champollion – BP 52309, Cedex 1;31023;Toulouse;France;https://ec.europa.eu/regional_policy/en/atlas/programmes/2014-2020/spain/2014tc16rfcb006;;Public;FR France / FRANCE;FR6  / SUD-OUEST;FR62  / Midi-Pyrénées;FR623  / Haute-Garonne
2014 - 2020 INTERREG V-A Spain - France - Andorra (POCTEFA);PyrenEOS;DEPARTEMENT DES PYRENEES-ATLANTIQUES;No;64 avenue Jean Biray;64058;Pau;France;https://ec.europa.eu/regional_policy/en/atlas/programmes/2014-2020/spain/2014tc16rfcb006;;Public;FR France / FRANCE;FR6  / SUD-OUEST;FR61  / Aquitaine;FR615  / Pyrénées-Atlantiques
2014 - 2020 INTERREG V-A Spain - France - Andorra (POCTEFA);REFBIO II;Cluster OSASUNA Santé;No;97 allée Théodore Monod – Estia 2 – Izarbel;64210;Bidart;France;https://refbio.eu/;;Public;FR France / FRANCE;FR6  / SUD-OUEST;FR61  / Aquitaine;FR615  / Pyrénées-Atlantiques
2014 - 2020 INTERREG V-A Spain - France - Andorra (POCTEFA);REFBIO II;Instituto Aragonés de Ciencias de la Salud;No;Av. San Juan Bosco 13;50009;Zaragoza;Spain;https://refbio.eu/;;Public;ES Spain / ESPAÑA;ES2  / NORESTE;ES24  / Aragón;ES243  / Zaragoza
2014 - 2020 INTERREG V-A Spain - France - Andorra (POCTEFA);REFBIO II;ASOCIACIÓN INSTITUTO DE INVESTIGACIÓN SANITARIA BIOCRUCES;No;Plaza de Cruces s/n;48903;Barakaldo;Spain;https://refbio.eu/;;Public;ES Spain / ESPAÑA;ES2  / NORESTE;ES21  / País Vasco;ES213  / Bizkaia
2014 - 2020 INTERREG V-A Spain - France - Andorra (POCTEFA);REFBIO II;Asociación Instituto Biodonostia;No;Paseo Dr. Beguiristain s/n;20014;San Sebastián;Spain;https://refbio.eu/;;Public;ES Spain / ESPAÑA;ES2  / NORESTE;ES21  / País Vasco;ES212  / Gipuzkoa
2014 - 2020 INTERREG V-A Spain - France - Andorra (POCTEFA);REFBIO II;Fundación Rioja Salud;No;C/ Piqueras, 98 edificio CIBIR;26006;Logroño;Spain;https://refbio.eu/;;Public;ES Spain / ESPAÑA;ES2  / NORESTE;ES23  / La Rioja;ES230  / La Rioja
2014 - 2020 INTERREG V-A Spain - France - Andorra (POCTEFA);REFBIO II;Fundación Vasca de Innovación e Investigación Sanitarias;No;Ronda de Azkue 1-Torre del BEC;48902;Barakaldo;Spain;https://refbio.eu/;;Public;ES Spain / ESPAÑA;ES2  / NORESTE;ES21  / País Vasco;ES213  / Bizkaia
2014 - 2020 INTERREG V-A Spain - France - Andorra (POCTEFA);REFBIO II;Centre Hospitalier Universitaire de Toulouse;No;2 rue Viguerie-TSA 80035;31059;Toulouse;France;https://refbio.eu/;;Public;FR France / FRANCE;FR6  / SUD-OUEST;FR62  / Midi-Pyrénées;FR623  / Haute-Garonne
2014 - 2020 INTERREG V-A Spain - France - Andorra (POCTEFA);REFBIO II;Université Toulouse III Paul Sabatier;No;118 route de Narbonne;31062;Toulouse;France;https://refbio.eu/;;Public;FR France / FRANCE;FR6  / SUD-OUEST;FR62  / Midi-Pyrénées;FR623  / Haute-Garonne
2014 - 2020 INTERREG V-A Spain - France - Andorra (POCTEFA);VALOVITIS;Centro de Investigación y Tecnología Agroalimentaria de Aragón;No;Avda. Montañana 930;500059;Zaragoza;Spain;http://www.valovitis.eu/?lang=es;;Public;ES Spain / ESPAÑA;ES2  / NORESTE;ES24  / Aragón;ES243  / Zaragoza
2014 - 2020 INTERREG V-A Spain - France - Andorra (POCTEFA);VALOVITIS;Universidad de Zaragoza;No;Pedro Cerbuna 12, Zaragoza, España;50009;Zaragoza;Spain;http://www.valovitis.eu/?lang=es;;Public;ES Spain / ESPAÑA;ES2  / NORESTE;ES24  / Aragón;ES243  / Zaragoza
2014 - 2020 INTERREG V-A Spain - France - Andorra (POCTEFA);TXINBADIA+;COMMUNE D'HENDAYE;No;Place de la République;64700;Hendaye;France;http://www.txinbadia.eu/;;Public;FR France / FRANCE;FR6  / SUD-OUEST;FR61  / Aquitaine;FR615  / Pyrénées-Atlantiques
2014 - 2020 INTERREG V-A Spain - France - Andorra (POCTEFA);TXINBADIA+;CPIE LITTORAL BASQUE - ATALAIA - EUSKAL ITSASBAZTERRA;No;Domaine d'Abbadia, « Larretxea », 2 rue d'Armatonde;64700;Hendaye;France;http://www.txinbadia.eu/;;Public;FR France / FRANCE;FR6  / SUD-OUEST;FR61  / Aquitaine;FR615  / Pyrénées-Atlantiques
2014 - 2020 INTERREG V-A Spain - France - Andorra (POCTEFA);TXINBADIA+;Conservatoire du littoral;No;Corderie Royale, CS 10137;17306;Rochefort Cedex;France;http://www.txinbadia.eu/;;Private;FR France / FRANCE;FR5  / OUEST;FR53  / Poitou-Charentes;FR532  / Charente-Maritime
2014 - 2020 INTERREG V-A Spain - France - Andorra (POCTEFA);TXINBADIA+;DÉPARTEMENT DES PYRÉNÉES ATLANTIQUES;No;Hôtel du Département - 64 avenue Jean Biray;64048;PAU;France;http://www.txinbadia.eu/;;Private;FR France / FRANCE;FR6  / SUD-OUEST;FR61  / Aquitaine;FR615  / Pyrénées-Atlantiques
2014 - 2020 INTERREG V-A Spain - France - Andorra (POCTEFA);Transfron3D;Universidad del País Vasco/Euskal Herriko Unibertsitatea;No;Barrio Sarriena, s/n, 48940 Leioa, Bizkaia (SPAIN);48940;Leioa;Spain;https://www.transfron3d.eu/fr/;;Private;ES Spain / ESPAÑA;ES2  / NORESTE;ES21  / País Vasco;ES213  / Bizkaia
2014 - 2020 INTERREG V-A Spain - France - Andorra (POCTEFA);Transfron3D;AERNNOVA ENGINEERING DIVISION S.A.U.;No;C/ LEONARDO DA VINCI, 13;1510;MIÑANO;Spain;https://www.transfron3d.eu/fr/;;Public;ES Spain / ESPAÑA;ES2  / NORESTE;ES21  / País Vasco;ES211  / Araba/Álava
2014 - 2020 INTERREG V-A Spain - France - Andorra (POCTEFA);Transfron3D;MIZAR ADDITIVE MANUFACTURING S.L.U.;No;c/Portal de Gamarra 1, Edificio Deba (Oficina 402);1013;Vitoria-Gasteiz;Spain;https://www.transfron3d.eu/fr/;;Public;ES Spain / ESPAÑA;ES2  / NORESTE;ES21  / País Vasco;ES211  / Araba/Álava
2014 - 2020 INTERREG V-A Spain - France - Andorra (POCTEFA);Transfron3D;Ventana;No;ZI du pont;64510;Narcastet;France;https://www.transfron3d.eu/fr/;;Private;FR France / FRANCE;FR6  / SUD-OUEST;FR61  / Aquitaine;FR615  / Pyrénées-Atlantiques
2014 - 2020 INTERREG V-A Spain - France - Andorra (POCTEFA);Transfron3D;Price Induction;No;11, Promenade du Prince Impérial;64600;Anglet;France;https://www.transfron3d.eu/fr/;;Private;FR France / FRANCE;FR6  / SUD-OUEST;FR61  / Aquitaine;FR615  / Pyrénées-Atlantiques
2014 - 2020 INTERREG V-A Spain - France - Andorra (POCTEFA);Transfron3D;AKIRA technologies;No;ZA Saint Frédéric;64100;Bayonne;France;https://www.transfron3d.eu/fr/;;Private;FR France / FRANCE;FR6  / SUD-OUEST;FR61  / Aquitaine;FR615  / Pyrénées-Atlantiques
2014 - 2020 INTERREG V-A Spain - France - Andorra (POCTEFA);Transfron3D;ESTIA COMPOSITADOUR ADDINADOUR;No;Avenue du 8 mai 1945;64100;Bayonne;France;https://www.transfron3d.eu/fr/;;Private;FR France / FRANCE;FR6  / SUD-OUEST;FR61  / Aquitaine;FR615  / Pyrénées-Atlantiques
2014 - 2020 INTERREG V-A Spain - France - Andorra (POCTEFA);TransferINN;Ariege Expansion;No;Parc Technologique Delta Sud;9340;Verniolle;France;https://www.poctefa.eu/;;Public;FR France / FRANCE;FR6  / SUD-OUEST;FR62  / Midi-Pyrénées;FR621  / Ariège
2014 - 2020 INTERREG V-A Spain - France - Andorra (POCTEFA);TransferINN;Université de Perpignan Via Domitia;No;52 Avenue Paul Alduy;66860;Perpignan;France;https://www.poctefa.eu/;;Public;FR France / FRANCE;FR8  / MÉDITERRANÉE;FR81  / Languedoc-Roussillon;FR815  / Pyrénées-Orientales
2014 - 2020 INTERREG V-A Spain - France - Andorra (POCTEFA);TransferINN;GENERALITAT DE CATALUNYA. DEPARTAMENT D’ENSENYAMENT;No;AV. Via Augusta, 202;8021;Barcelona;Spain;https://www.poctefa.eu/;;Public;ES Spain / ESPAÑA;ES5  / ESTE;ES51  / Cataluña;ES511  / Barcelona
2014 - 2020 INTERREG V-A Spain - France - Andorra (POCTEFA);TransferINN;INSUP;No;INSUP Midi Pyrénées ZI En Jacca 34 Chemin de l’Echut;31770;COLOMIERS;France;https://www.poctefa.eu/;;Public;FR France / FRANCE;FR6  / SUD-OUEST;FR62  / Midi-Pyrénées;FR623  / Haute-Garonne
2014 - 2020 INTERREG V-A Spain - France - Andorra (POCTEFA);TransferINN;ESTIA ENTREPRENDRE;No;97 , allée Théodore Monod Technopole Izarbel - Bâtiment ESTIA 2;64210;Bidart;France;https://www.poctefa.eu/;;Public;FR France / FRANCE;FR6  / SUD-OUEST;FR61  / Aquitaine;FR615  / Pyrénées-Atlantiques
2014 - 2020 INTERREG V-A Spain - France - Andorra (POCTEFA);TransferINN;MONDRAGON GOI ESKOLA POLITEKNIKOA J.M.A. S.COOP.;No;Loramendi 4;20500;Arrasate-Mondragón;Spain;https://www.poctefa.eu/;;Public;ES Spain / ESPAÑA;ES2  / NORESTE;ES21  / País Vasco;ES212  / Gipuzkoa
2014 - 2020 INTERREG V-A Spain - France - Andorra (POCTEFA);SECURUS;Commune d'Aragnouet;No;Hameau de Fabian;65170;Aragnouet;France;http://www.bielsa-aragnouet.org/proyecto-europeo-securus/;;Public;FR France / FRANCE;FR6  / SUD-OUEST;FR62  / Midi-Pyrénées;FR626  / Hautes-Pyrénées
2014 - 2020 INTERREG V-A Spain - France - Andorra (POCTEFA);SECURUS;Commune de Saint-Lary Soulan;No;Place de la Mairie;65170;Saint-Lary-Soulan;France;http://www.bielsa-aragnouet.org/proyecto-europeo-securus/;;Public;FR France / FRANCE;FR6  / SUD-OUEST;FR62  / Midi-Pyrénées;FR626  / Hautes-Pyrénées
2014 - 2020 INTERREG V-A Spain - France - Andorra (POCTEFA);SECURUS;Département des Hautes-Pyrénées;No;6, rue Gaston Manent;65013;TARBES;France;http://www.bielsa-aragnouet.org/proyecto-europeo-securus/;;Public;FR France / FRANCE;FR6  / SUD-OUEST;FR62  / Midi-Pyrénées;FR626  / Hautes-Pyrénées
2014 - 2020 INTERREG V-A Spain - France - Andorra (POCTEFA);SECURUS;Agrupación Europea de Cooperación Territorial Espacio Portalet;No;Frontera de El Portalet Carretera A-136 PK 27;22640;Sallent de Gállego;Spain;http://www.bielsa-aragnouet.org/proyecto-europeo-securus/;;Public;ES Spain / ESPAÑA;ES2  / NORESTE;ES24  / Aragón;ES241  / Huesca
2014 - 2020 INTERREG V-A Spain - France - Andorra (POCTEFA);SASCIRATI2015;Junta de la Valle de Aezkoa;No;Casa del Valle Santa María, 18.;31671;Aribe;Spain;https://www.poctefa.eu/;;Public;ES Spain / ESPAÑA;ES2  / NORESTE;ES22  / Comunidad Foral de Navarra;ES220  / Navarra
2014 - 2020 INTERREG V-A Spain - France - Andorra (POCTEFA);SASCIRATI2015;Junta de la Valle de Salazar;No;Casa del Valle. – C/Rochapea 16-;31690;Ezcaroz;Spain;https://www.poctefa.eu/;;Public;ES Spain / ESPAÑA;ES2  / NORESTE;ES22  / Comunidad Foral de Navarra;ES220  / Navarra
2014 - 2020 INTERREG V-A Spain - France - Andorra (POCTEFA);SASCIRATI2015;Commission Syndicale de Cize;No;Cité administrative;64220;Saint jean Pied de Port;France;https://www.poctefa.eu/;;Public;FR France / FRANCE;FR6  / SUD-OUEST;FR61  / Aquitaine;FR615  / Pyrénées-Atlantiques
2014 - 2020 INTERREG V-A Spain - France - Andorra (POCTEFA);SAPYRA;Centre d’étude et d’expertise sur les risques, l’environnement, la mobilité et l’aménagement;No;1 Avenue du Colonel Roche;31400;TOULOUSE;France;http://sapyra.com/?lang=fr;;Public;FR France / FRANCE;FR6  / SUD-OUEST;FR62  / Midi-Pyrénées;FR623  / Haute-Garonne
2014 - 2020 INTERREG V-A Spain - France - Andorra (POCTEFA);SAPYRA;Govern d’Andorra;No;Edifici Prat del Rull Camí de la Grau;AD500;Andorra la Vella;Andorra;http://sapyra.com/?lang=fr;;Public;AD  / Andorra;;;
2014 - 2020 INTERREG V-A Spain - France - Andorra (POCTEFA);Routes singulières;AYUNTAMIENTO DE IRUN;No;Plaza San Juan Arria, s/n;20304;IRUN;Spain;http://www.routes-singulieres.eu/;;public;ES Spain / ESPAÑA;ES2  / NORESTE;ES21  / País Vasco;ES212  / Gipuzkoa
