Programme;Acronym;Project Partner;Lead Partner;Street;Postal code;Town;Country;Website;Department;Legal Status;Country code;NUTS1 (or equivalent);NUTS2 (or equivalent);NUTS3 (or equivalent)
2014 - 2020 INTERREG VB Central Europe;GreenerSites;City of Venice;Yes;Ca’ Farsetti, S. Marco  4136;30124;VENICE;Italy;http://www.interreg-central.eu;European Policies Department and Environment Department;public;IT Italy / ITALIA;ITH  / NORD-EST;ITH3  / Veneto;ITH35  / Venezia
2014 - 2020 INTERREG VB Central Europe;PROLINE-CE;Austrian Federal Ministry for Sustainability and Tourism;Yes;Marxergasse 2;1030;Vienna;Austria;http://www.interreg-central.eu;Forest Department;public;AT Austria / ÖSTERREICH;AT1  / OSTÖSTERREICH;AT13  / Wien;AT130  / Wien
2014 - 2020 INTERREG VB Central Europe;PPI2Innovate;Central Transdanubian Regional Innovation Agency Nonprofit Ltd.;Yes;Seregélyesi út  113;8000;Székesfehérvár;Hungary;http://www.interreg-central.eu;N/A;public;HU Hungary / MAGYARORSZÁG;HU2  / DUNÁNTÚL;HU21  / Közép-Dunántúl;HU211  / Fejér
2014 - 2020 INTERREG VB Central Europe;NUCLEi;Centre of Research and Technological Innovation s.r.l.;Yes;via Confine 2310;41058;Vignola;Italy;http://www.interreg-central.eu;;private;IT Italy / ITALIA;ITH  / NORD-EST;ITH5  / Emilia-Romagna;ITH54  / Modena
2014 - 2020 INTERREG VB Central Europe;MOVECIT;Development agency Sinergija;Yes;Kranjceva 3;9226;Moravske Toplice;Slovenia;http://www.interreg-central.eu;;public;SI Slovenia / SLOVENIJA;SI0  / SLOVENIJA;SI03  / Vzhodna Slovenija;SI031  / Pomurska
2014 - 2020 INTERREG VB Central Europe;YouInHerit;Budafok-Tétény Municipality (22nd District of Budapest);Yes;Városház tér 11;1221;Budapest;Hungary;http://www.interreg-central.eu;;public;HU Hungary / MAGYARORSZÁG;HU1  / KÖZÉP-MAGYARORSZÁG;HU10  / Közép-Magyarország;HU102  / Pest
2014 - 2020 INTERREG VB Central Europe;digitalLIFE4CE;University of Applied Sciences Burgenland;Yes;Campus 1;7000;Eisenstadt;Austria;http://www.interreg-central.eu;Health;public;AT Austria / ÖSTERREICH;AT1  / OSTÖSTERREICH;AT11  / Burgenland;AT112  / Nordburgenland
2014 - 2020 INTERREG V-A Austria - Germany / Bavaria (Bayern - Österreich);Wege des Holzes;Naturpark Karwendel;Yes;Unterer Stadtplatz;A-6060;Hall in Tirol;Austria;http://www.interreg-bayaut.net/;;private;AT Austria / ÖSTERREICH;AT3  / WESTÖSTERREICH;AT33  / Tirol;AT332  / Innsbruck
2014 - 2020 INTERREG V-A Austria - Germany / Bavaria (Bayern - Österreich);Wild und kultiviert;Land Salzburg, Abteilung 5 Natur- und Umweltschutz, Gewerbe;Yes;Michael Pacher Strasse;5020;Salzburg;Austria;http://www.wildundkultiviert.at;;public;AT Austria / ÖSTERREICH;AT3  / WESTÖSTERREICH;AT32  / Salzburg;AT323  / Salzburg und Umgebung
2014 - 2020 INTERREG V-A Austria - Germany / Bavaria (Bayern - Österreich);ViSIT;Universität Passau (UNI PASSAU);Yes;Innstraße;94032;Passau;Germany;http://www.interreg-bayaut.net/;;public;DE Germany / DEUTSCHLAND;DE2  / BAYERN;DE22  / Niederbayern;DE222  / Passau, Kreisfreie Stadt
2014 - 2020 INTERREG V-A Austria - Germany / Bavaria (Bayern - Österreich);Inno4wood;proHolz Tirol;Yes;Wilhelm-Greil-Strasse;6020;Innsbruck;Austria;http://www.interreg-bayaut.net/;;private;AT Austria / ÖSTERREICH;AT3  / WESTÖSTERREICH;AT33  / Tirol;AT332  / Innsbruck
2014 - 2020 INTERREG V-A Austria - Germany / Bavaria (Bayern - Österreich);BAWeRIA;LKR Leichtmetallkompetenzzentrum Ranshofen GmbH;Yes;Lamprechtshausenerstraße;5282;Ranshofen;Austria;http://www.interreg-bayaut.net/;;public;AT Austria / ÖSTERREICH;AT3  / WESTÖSTERREICH;AT31  / Oberösterreich;AT311  / Innviertel
2014 - 2020 INTERREG V-A Austria - Germany / Bavaria (Bayern - Österreich);Sterlet 2015;Amt der OÖ Landesregierung, Abteilung Naturschutz;Yes;Bahnhofplatz;4021;Linz;Austria;http://www.interreg-bayaut.net/;;public;AT Austria / ÖSTERREICH;AT3  / WESTÖSTERREICH;AT31  / Oberösterreich;AT312  / Linz-Wels
2014 - 2020 INTERREG V-A Austria - Germany / Bavaria (Bayern - Österreich);F+I Netzwerk Alpines Bauen;Innovations- und Technologietransfer Salzburg GmbH;Yes;Südtiroler Platz;5020;Salzburg;Austria;http://www.interreg-bayaut.net/;;public;AT Austria / ÖSTERREICH;AT3  / WESTÖSTERREICH;AT32  / Salzburg;AT323  / Salzburg und Umgebung
2014 - 2020 INTERREG V-A Austria - Germany / Bavaria (Bayern - Österreich);LogLab;Deggendorf Institute of Technology;Yes;Edlmairstr.;94469;Deggendorf;Germany;http://www.interreg-bayaut.net/;;public;DE Germany / DEUTSCHLAND;DE2  / BAYERN;DE22  / Niederbayern;DE224  / Deggendorf
2014 - 2020 INTERREG V-A Austria - Germany / Bavaria (Bayern - Österreich);TFP Hy-Mat;Kompetenzzentrum Holz GmbH;Yes;Altenbergerstrasse;4040;Linz;Austria;http://www.interreg-bayaut.net/;;public;AT Austria / ÖSTERREICH;AT3  / WESTÖSTERREICH;AT31  / Oberösterreich;AT312  / Linz-Wels
2014 - 2020 INTERREG V-A Austria - Germany / Bavaria (Bayern - Österreich);ISEM;FH Oberösterreich Forschungs- und Entwicklungs GmbH;Yes;Franz Fritsch Straße;4600;Wels;Austria;http://www.interreg-bayaut.net/;;public;AT Austria / ÖSTERREICH;AT3  / WESTÖSTERREICH;AT31  / Oberösterreich;AT312  / Linz-Wels
2014 - 2020 INTERREG V-A Austria - Germany / Bavaria (Bayern - Österreich);ZABT;Verein Zugspitz Arena Bayern-Tirol;Yes;Am Rettensee;6632;Ehrwald;Austria;http://www.interreg-bayaut.net/;;private;AT Austria / ÖSTERREICH;AT3  / WESTÖSTERREICH;AT33  / Tirol;AT331  / Außerfern
2014 - 2020 INTERREG V-A Austria - Germany / Bavaria (Bayern - Österreich);ILBitZ;Technische Hochschule Deggendorf;Yes;Grafenauer Straße;94078;Freyung;Germany;http://www.interreg-bayaut.net/;;public;DE Germany / DEUTSCHLAND;DE2  / BAYERN;DE22  / Niederbayern;DE225  / Freyung-Grafenau
2014 - 2020 INTERREG V-A Austria - Germany / Bavaria (Bayern - Österreich);Lebensspur Lech;Füssen Tourismus und Marketing;Yes;Kaiser Maximilian Platz;87629;Füssen;Germany;http://www.interreg-bayaut.net/;;public;DE Germany / DEUTSCHLAND;DE2  / BAYERN;DE27  / Schwaben;DE27B  / Ostallgäu
2014 - 2020 INTERREG V-A Austria - Germany / Bavaria (Bayern - Österreich);CompStor;Technology Centre of Energy, University of Applied Sciences Landshut;Yes;Wiesenweg;94099;Ruhstorf;Germany;http://www.interreg-bayaut.net/;;public;DE Germany / DEUTSCHLAND;DE2  / BAYERN;DE22  / Niederbayern;DE228  / Passau, Landkreis
2014 - 2020 INTERREG V-A Austria - Germany / Bavaria (Bayern - Österreich);Frumentum;ROLF - Roland Wolf GmbH;Yes;Mühlbachweg;6671;Weißenbach am Lech;Austria;http://www.interreg-bayaut.net/;;private;AT Austria / ÖSTERREICH;AT3  / WESTÖSTERREICH;AT33  / Tirol;AT331  / Außerfern
2014 - 2020 INTERREG V-A Austria - Germany / Bavaria (Bayern - Österreich);Governance OÖ-BY 2015-2017;Regionalmanagement OÖ GmbH;Yes;Hauptplatz;4020;Linz;Austria;http://www.interreg-bayaut.net/;;public;AT Austria / ÖSTERREICH;AT3  / WESTÖSTERREICH;AT31  / Oberösterreich;AT312  / Linz-Wels
2014 - 2020 INTERREG V-A Austria - Germany / Bavaria (Bayern - Österreich);GS-Förderung Evs 2015-2017;REGIO Allgäu e. V.;Yes;Oberallgäuer Platz;87527;Sonthofen;Germany;http://www.interreg-bayaut.net/;;public;DE Germany / DEUTSCHLAND;DE2  / BAYERN;DE27  / Schwaben;DE27E  / Oberallgäu
2014 - 2020 INTERREG V-A Austria - Germany / Bavaria (Bayern - Österreich);MTB Allgäu/Tirol;Allgäu GmbH;Yes;Allgäuer Str.;87435;Kempten;Germany;http://www.interreg-bayaut.net/;;private;DE Germany / DEUTSCHLAND;DE2  / BAYERN;DE27  / Schwaben;DE27E  / Oberallgäu
