"NUTS_ID";"STAT_LEVL_";"SHAPE_AREA";"SHAPE_LEN";"TYPE";"n";"HTYPO";"TYPO"
"RO12";2;3,97561419145;13,2888120476;"Less developed regions";91;FALSE;1
"RO31";2;3,90807508319;16,389073682;"Less developed regions";146;FALSE;1
"RO22";2;4,08790573423;15,9921655081;"Less developed regions";244;FALSE;1
"RO32";2;0,20375392835;3,13856345391;"More developed regions";283;FALSE;2
"RO11";2;4,05685619725;12,6630081838;"Less developed regions";611;FALSE;1
"PL32";2;2,23556797034;10,1826345255;"Less developed regions";166;FALSE;1
"PL62";2;3,27869067527;11,8428318316;"Less developed regions";235;FALSE;1
"PL61";2;2,41040131554;10,6257616099;"Less developed regions";40;FALSE;1
"PL63";2;2,49991961535;11,8562459069;"Less developed regions";451;FALSE;1
"PT11";2;2,29394456312;10,0950182443;"Less developed regions";538;FALSE;1
"PT15";2;0,50736590017;4,4945894492;"Transition regions";213;FALSE;4
"PT17";2;0,29558403107;5,50447963365;"More developed regions";283;FALSE;2
"PT18";2;3,25464084242;12,0387080468;"Less developed regions";264;FALSE;1
"PT16";2;2,97936092252;12,1346355606;"Less developed regions";325;FALSE;1
"PT20";2;0,23931482593;7,30946581504;"NULL";253;FALSE;3
"PT30";2;0,07702240188;2,32361341757;"NULL";237;FALSE;3
"PL22";2;1,55713834175;10,3825555462;"Less developed regions";362;FALSE;1
"PL43";2;1,83810450411;9,57956161587;"Less developed regions";156;FALSE;1
"PL41";2;3,93165229368;15,6891916799;"Less developed regions";88;FALSE;1
"PL33";2;1,4921964512;8,07448090101;"Less developed regions";9;FALSE;1
"PL51";2;2,55888382153;12,216096282;"Less developed regions";605;FALSE;1
"PL34";2;2,71902380544;9,77690421317;"Less developed regions";292;FALSE;1
"PL42";2;3,04568885007;13,9699854712;"Less developed regions";249;FALSE;1
"PL31";2;3,23133131582;11,9587753264;"Less developed regions";212;FALSE;1
"PL52";2;1,19608438555;7,97422190652;"Less developed regions";252;FALSE;1
"TR10";2;0,57314307254;6,05037624716;"NULL";29;FALSE;3
"TR31";2;1,21887147809;12,056284574;"NULL";4;FALSE;3
"TR32";2;3,26136419969;19,5424838637;"NULL";4;FALSE;3
"TR51";2;2,6772773033;11,0087083363;"NULL";6;FALSE;3
"TR52";2;5,07249209006;12,2810404404;"NULL";0;FALSE;3
"TR61";2;3,71070099915;13,2164198546;"NULL";2;FALSE;3
"TR71";2;3,30240546887;10,3288426099;"NULL";0;FALSE;3
"TR33";2;4,70627408308;14,2647036619;"NULL";0;FALSE;3
"TR72";2;6,24436637924;15,3295337886;"NULL";0;FALSE;3
"TR41";2;3,06435443244;11,2879900119;"NULL";0;FALSE;3
"TR81";2;1,02553101216;5,26875250034;"NULL";6;FALSE;3
"TR82";2;2,84839805787;10,6368884725;"NULL";3;FALSE;3
"TR62";2;2,96180174539;13,3958563917;"NULL";0;FALSE;3
"TR42";2;2,1537545361;10,3298941725;"NULL";6;FALSE;3
"TR83";2;4,05016992119;12,0531021462;"NULL";4;FALSE;3
"TR63";2;2,37278809542;9,97528590711;"NULL";0;FALSE;3
"TR90";2;3,73909811589;15,3543681028;"NULL";13;FALSE;3
"TRA1";2;4,30202404561;14,3894274405;"NULL";0;FALSE;3
"SI03";2;1,44742639047;11,8183702877;"Less developed regions";819;FALSE;1
"SK01";2;0,2486788128;3,10884237666;"More developed regions";360;FALSE;2
"SK02";2;1,82133613708;9,87393304068;"Less developed regions";430;FALSE;1
"SI04";2;0,91226426438;7,76134147301;"More developed regions";1257;FALSE;2
"TR21";2;2,02672065608;8,71729945112;"NULL";101;FALSE;3
"SK03";2;1,99015638367;10,0803376304;"Less developed regions";288;FALSE;1
"TR22";2;2,53244524195;16,3914021275;"NULL";0;FALSE;3
"SK04";2;1,93026288472;8,93270945628;"Less developed regions";402;FALSE;1
"SE23";2;5,26601614079;33,9237487123;"More developed regions";378;FALSE;2
"SE32";2;13,7626298538;35,2174917812;"More developed regions";275;FALSE;2
"SE31";2;11,8494245667;32,7831671915;"More developed regions";244;FALSE;2
"SE33";2;32,9302055036;61,4990171202;"More developed regions";720;FALSE;2
"SE12";2;6,80574722024;37,2908149465;"More developed regions";231;FALSE;2
"SE11";2;1,11768281728;39,706239564;"More developed regions";382;FALSE;2
"SE22";2;2,07291728761;15,4631556314;"More developed regions";694;FALSE;2
"SE21";2;5,34778060856;33,8536257476;"More developed regions";266;FALSE;2
"UKK1";2;0,96860456946;8,02114998764;"More developed regions";50;FALSE;2
"UKN0";2;1,96781351277;12,1513168634;"Transition regions";426;FALSE;4
"UKM2";2;2,62591766557;16,4228918402;"More developed regions";142;FALSE;2
"UKM3";2;1,86009539191;13,1120316841;"More developed regions";78;FALSE;2
"UKM5";2;0,96905313823;6,64869953134;"More developed regions";56;FALSE;2
"UKJ2";2;0,70024558562;5,84269074904;"More developed regions";200;FALSE;2
"UKK2";2;0,78435465658;7,54035620733;"More developed regions";39;FALSE;2
"UKJ3";2;0,53331533712;7,31254757758;"More developed regions";117;FALSE;2
"UKL1";2;1,73637802206;19,3877276553;"Less developed regions";179;FALSE;1
"UKJ4";2;0,48118625207;5,59457727391;"More developed regions";256;FALSE;2
"UKK3";2;0,45360511359;7,67535344153;"Less developed regions";46;FALSE;1
"UKK4";2;0,85692025051;7,96777790051;"Transition regions";119;FALSE;4
"UKL2";2;1,00939613286;12,2571175012;"More developed regions";74;FALSE;2
"UKD6";2;0,30459272815;3,93502491528;"More developed regions";39;FALSE;2
"UKD7";2;0,09810901979;3,05295323949;"Transition regions";41;FALSE;4
"UKE2";2;1,14494740734;7,79480170307;"More developed regions";18;FALSE;2
"UKE3";2;0,21014830028;2,78790162783;"Transition regions";45;FALSE;4
"UKE4";2;0,27665490434;3,07061394573;"More developed regions";42;FALSE;2
"UKG3";2;0,1193318609;2,64013554005;"More developed regions";75;FALSE;2
"UKF1";2;0,64373048181;5,74969491867;"More developed regions";20;FALSE;2
"UKE1";2;0,4803557975;7,64998935159;"Transition regions";12;FALSE;4
"UKF2";2;0,65132924443;5,38466819511;"More developed regions";9;FALSE;2
"UKG1";2;0,77558436175;8,34856354207;"More developed regions";8;FALSE;2
"UKH2";2;0,37593831272;3,91556972065;"More developed regions";28;FALSE;2
"UKF3";2;0,79556344806;5,74546456927;"Transition regions";3;FALSE;4
