"";"lon";"lat";"type";"loctype";"address";"north";"south";"east";"west";"Location"
"3719";13,7677618;45,6500779;"establishment";"geometric_center";"piazza unità d'italia, 34121 trieste ts, italy";45,6514268802915;45,6487289197085;13,7691107802915;13,7664128197085;"piazza dell'unità d'italia 1, 34121 trieste, italy"
"3720";13,6389703;45,9479346;"street_address";"rooftop";"kostanjeviška cesta 16, 5000 nova gorica, slovenia";45,9492835802915;45,9465856197085;13,6403192802915;13,6376213197085;"kostanjeviška 16, si - 5270 nova gorica, slovenia"
"3721";12,3210436;45,4410697;"establishment";"geometric_center";"stazione di venezia santa lucia, 30121 venezia ve, italy";45,4424186802915;45,4397207197085;12,3223925802915;12,3196946197085;"santa lucia cannaregio 23, 31121 venezia, italy"
"3722";13,7932365;45,6585478;"street_address";"rooftop";"piazzale europa, 1, 34127 trieste ts, italy";45,6598967802915;45,6571988197085;13,7945854802915;13,7918875197085;"piazzale europa 1, 34127 trieste, italy"
"3723";11,6100446;44,8424004;"street_address";"rooftop";"viale cavour, 143, 44121 ferrara fe, italy";44,8437493802915;44,8410514197085;11,6113935802915;11,6086956197085;"viale cavour 143, 44121 ferrara, italy"
"3724";13,7283265;45,5466791;"street_address";"rooftop";"županciceva ulica 18, 6000 koper - capodistria, slovenia";45,5480280802915;45,5453301197085;13,7296754802915;13,7269775197085;"županciceva ulica 18, 6000 koper, slovenia"
"3725";13,6221071;45,9415373;"street_address";"rooftop";"piazza del municipio, 1, 34170 gorizia go, italy";45,9428862802915;45,9401883197085;13,6234560802915;13,6207581197085;"piazza municipio, 1, 34170 gorizia, italy"
"3726";13,6186052;45,9198373;"establishment";"geometric_center";"staz. confinaria s.andrea, 34170 gorizia go, italy";45,9211862802915;45,9184883197085;13,6199541802915;13,6172562197085;"stazione confinaria s.andrea, 34170 gorizia, italy"
"3727";12,17348;44,699504;"street_address";"rooftop";"corso giuseppe mazzini, 200, 44022 comacchio fe, italy";44,7008529802915;44,6981550197085;12,1748289802915;12,1721310197085;"c.so g.mazzini, 200, 44022 ferrara, italy"
"3728";13,7285764;45,5474661;"street_address";"rooftop";"garibaldijeva ulica 1, 6000 koper - capodistria, slovenia";45,5488150802915;45,5461171197085;13,7299253802915;13,7272274197085;"garibaldijeva 1, 6000 koper/capodistria, slovenia"
"3729";13,7316908;46,1827128;"premise";"rooftop";"ulica padlih borcev 2, 5220 tolmin, slovenia";46,1840581802915;46,1813602197085;13,7330273302915;13,7303293697085;"ulica padlih borcev 2, 5220 tolmin, slovenia"
"3730";13,3941972;46,0573929;"locality";"approximate";"33040 premariacco, province of udine, italy";46,070437;46,0513568;13,4012854;13,3846148;", 33040 premariacco, italy"
"3731";13,6389703;45,9479346;"street_address";"rooftop";"kostanjeviška cesta 16, 5000 nova gorica, slovenia";45,9492835802915;45,9465856197085;13,6403192802915;13,6376213197085;"kostanjeviška cesta 16, 5000 nova gorica, slovenia"
"3732";13,299565;46,031131;"street_address";"rooftop";"piazza chiesa, 3, 33040 pradamano ud, italy";46,0324799802915;46,0297820197085;13,3009139802915;13,2982160197085;"piazza chiesa, 3, 33040  pradamano, italy"
"3733";13,403492;45,980675;"street_address";"rooftop";"via roma, 144, 33048 san giovanni al natisone ud, italy";45,9820239802915;45,9793260197085;13,4048409802915;13,4021430197085;"via roma, n. 144 , 33048 san giovanni al natisone, italy"
"3734";13,3241914;46,085641;"street_address";"rooftop";"piazza paolo diacono, 16, 33047 remanzacco ud, italy";46,0869899802915;46,0842920197085;13,3255403802915;13,3228424197085;"piazza paolo diacono 16, 33047 remanzacco, italy"
"3735";13,28154;45,97773;"street_address";"rooftop";"piazza julia, 1, 33050 lauzacco ud, italy";45,9790789802915;45,9763810197085;13,2828889802915;13,2801910197085;"lauzacco, piazza julia, 1, 33050 pavia di udine, italy"
"3736";13,6400978;45,9423201;"street_address";"rooftop";"vipavska cesta 13, 5000 nova gorica, slovenia";45,9436690802915;45,9409711197085;13,6414467802915;13,6387488197085;"vipavska cesta 13, 5000 nova gorica, slovenia"
"3737";13,5776878;46,5052724;"street_address";"rooftop";"via roma, 3, 33018 tarvisio ud, italy";46,5066213802915;46,5039234197085;13,5790367802915;13,5763388197085;"via roma, 3, 33018 tarvisio, italy"
"3738";13,4998631;45,805987;"street_address";"rooftop";"piazza dante alighieri, 26, 34079 staranzano go, italy";45,8073359802915;45,8046380197085;13,5012120802915;13,4985141197085;"piazza alighieri 26, 34079 staranzano, italy"
"3739";12,2552383;45,4715752;"street_address";"rooftop";"via delle industrie, 19, 30175 venezia ve, italy";45,4729241802915;45,4702262197085;12,2565872802915;12,2538893197085;"via delle industrie 19/d, 30175 venezia, italy"
